"city","burrito_count","taco_count","burrito_to_taco_ratio"
Mason,20,1,20.0
Clinton,25,2,12.5
Camden,12,1,12.0
Nottingham,12,1,12.0
Fulton,11,1,11.0
Searcy,11,1,11.0
Severna Park,10,1,10.0
Runnemede,10,1,10.0
Winfield,10,1,10.0
Newburyport,10,1,10.0
Monticello,9,1,9.0
Mattoon,9,1,9.0
Orchard Park,9,1,9.0
Princeton,16,2,8.0
Radcliff,8,1,8.0
Seminole,8,1,8.0
Stephenville,8,1,8.0
Los Alamos,8,1,8.0
Lapeer,8,1,8.0
Clarksville,16,2,8.0
Bowling Green,8,1,8.0
Chicopee,7,1,7.0
Cordova,7,1,7.0
Fort Oglethorpe,7,1,7.0
Elkins,7,1,7.0
Estes Park,7,1,7.0
Leavenworth,7,1,7.0
Gramercy,7,1,7.0
Grand Island,7,1,7.0
Hamilton,21,3,7.0
Waynesboro,7,1,7.0
West Lafayette,7,1,7.0
Westerville,7,1,7.0
Rapid City,14,2,7.0
Salina,7,1,7.0
Sand Springs,7,1,7.0
Paris,7,1,7.0
Willow Grove,7,1,7.0
Madisonville,20,3,6.666666666666667
Fayetteville,13,2,6.5
Hyannis,19,3,6.333333333333333
Winston Salem,19,3,6.333333333333333
Wilsonville,6,1,6.0
White Lake,6,1,6.0
Yucca Valley,6,1,6.0
Westville,6,1,6.0
Weaverville,12,2,6.0
Warrensburg,6,1,6.0
Vinton,6,1,6.0
Starkville,6,1,6.0
Grain Valley,6,1,6.0
Lithia,6,1,6.0
Morganton,6,1,6.0
Neosho,6,1,6.0
El Dorado,6,1,6.0
Collinsville,6,1,6.0
Cleburne,6,1,6.0
Douglas,6,1,6.0
Alamogordo,6,1,6.0
Conover,11,2,5.5
Oak Lawn,11,2,5.5
Menasha,11,2,5.5
Johnston,11,2,5.5
Laughlin,5,1,5.0
Melrose Park,5,1,5.0
Natick,5,1,5.0
New Hope,5,1,5.0
Baytown,15,3,5.0
Canby,5,1,5.0
Park Ridge,10,2,5.0
Oneida,5,1,5.0
Peru,5,1,5.0
Conway,14,3,4.666666666666667
Lees Summit,14,3,4.666666666666667
Hilliard,27,6,4.5
Geneva,9,2,4.5
Arroyo Grande,9,2,4.5
Seymour,9,2,4.5
Jasper,13,3,4.333333333333333
Lewisburg,4,1,4.0
Marion,12,3,4.0
Ardsley,4,1,4.0
Anniston,8,2,4.0
Basking Ridge,4,1,4.0
Chalfont,4,1,4.0
Easthampton,4,1,4.0
Cordele,8,2,4.0
Clayton,8,2,4.0
Chillicothe,4,1,4.0
Trenton,12,3,4.0
Perry,4,1,4.0
Paducah,8,2,4.0
San Lorenzo,4,1,4.0
Ashland,23,6,3.8333333333333335
Sonora,15,4,3.75
Spartanburg,11,3,3.6666666666666665
Rockville Centre,11,3,3.6666666666666665
Avon,22,6,3.6666666666666665
Brevard,7,2,3.5
Kutztown,7,2,3.5
Greer,7,2,3.5
Pigeon Forge,7,2,3.5
West Point,7,2,3.5
Mansfield,24,7,3.4285714285714284
Asheville,41,12,3.4166666666666665
Ashburn,17,5,3.4
Eden Prairie,10,3,3.3333333333333335
Ft Mitchell,20,6,3.3333333333333335
Greeley,10,3,3.3333333333333335
Conshohocken,13,4,3.25
Los Gatos,28,9,3.111111111111111
Livingston,6,2,3.0
Martinsburg,3,1,3.0
Marshall,3,1,3.0
Newton,12,4,3.0
Novi,3,1,3.0
Northbrook,3,1,3.0
Milan,6,2,3.0
Mission Hills,3,1,3.0
Hallandale,3,1,3.0
Hillsborough,3,1,3.0
Holbrook,3,1,3.0
Harrison,18,6,3.0
Lake Orion,3,1,3.0
Kennewick,3,1,3.0
Corrales,18,6,3.0
Delano,6,2,3.0
District Heights,9,3,3.0
Gatlinburg,3,1,3.0
Freeport,15,5,3.0
Edinburg,3,1,3.0
East Moline,3,1,3.0
East Stroudsburg,3,1,3.0
Belmar,3,1,3.0
Berlin,3,1,3.0
Bernalillo,6,2,3.0
Bryant,3,1,3.0
Cadillac,3,1,3.0
Carrboro,3,1,3.0
Wasco,3,1,3.0
Waipahu,3,1,3.0
Stanford,6,2,3.0
Summerville,3,1,3.0
Tahoe City,3,1,3.0
Pasco,6,2,3.0
Orleans,3,1,3.0
Richgrove,3,1,3.0
Riverview,3,1,3.0
Prospect Heights,3,1,3.0
Saraland,3,1,3.0
Saint Peters,6,2,3.0
Woodville,6,2,3.0
Yelm,3,1,3.0
Yorkville,3,1,3.0
Onalaska,11,4,2.75
Wantagh,11,4,2.75
Lake City,11,4,2.75
Green River,11,4,2.75
Norman,11,4,2.75
Liberal,8,3,2.6666666666666665
Los Lunas,8,3,2.6666666666666665
Camdenton,8,3,2.6666666666666665
Belton,8,3,2.6666666666666665
